"iso_code","country","region","capital","income_group"
"MLT","Malta","Middle East & North Africa","Valletta","High income"
"MMR","Myanmar","East Asia & Pacific","Naypyidaw","Lower middle income"
"MNE","Montenegro","Europe & Central Asia","Podgorica","Upper middle income"
"MNG","Mongolia","East Asia & Pacific","Ulaanbaatar","Lower middle income"
"MOZ","Mozambique","Sub-Saharan Africa","Maputo","Low income"
"MRT","Mauritania","Sub-Saharan Africa","Nouakchott","Lower middle income"
"MUS","Mauritius","Sub-Saharan Africa","Port Louis","Upper middle income"
"MWI","Malawi","Sub-Saharan Africa","Lilongwe","Low income"
"MYS","Malaysia","East Asia & Pacific","Kuala Lumpur","Upper middle income"
"NAM","Namibia","Sub-Saharan Africa","Windhoek","Upper middle income"
"NER","Niger","Sub-Saharan Africa","Niamey","Low income"
"NGA","Nigeria","Sub-Saharan Africa","Abuja","Lower middle income"
"NIC","Nicaragua","Latin America & Caribbean","Managua","Lower middle income"
"NLD","Netherlands","Europe & Central Asia","Amsterdam","High income"
"NOR","Norway","Europe & Central Asia","Oslo","High income"
"NPL","Nepal","South Asia","Kathmandu","Low income"
"NRU","Nauru","East Asia & Pacific","Yaren","Upper middle income"
"NZL","New Zealand","East Asia & Pacific","Wellington","High income"
"OMN","Oman","Middle East & North Africa","Muscat","High income"
"PAK","Pakistan","South Asia","Islamabad","Lower middle income"
"PAN","Panama","Latin America & Caribbean","Panama City","High income"
"PER","Peru","Latin America & Caribbean","Lima","Upper middle income"
"PHL","Philippines","East Asia & Pacific","Manila","Lower middle income"
"PLW","Palau","East Asia & Pacific","Melekeok","High income"
"PNG","Papua New Guinea","East Asia & Pacific","Port Moresby","Lower middle income"
"POL","Poland","Europe & Central Asia","Warsaw","High income"
"PRK","Korea, Dem. People's Rep.","East Asia & Pacific","Pyongyang","Low income"
"PRT","Portugal","Europe & Central Asia","Lisbon","High income"
"PRY","Paraguay","Latin America & Caribbean","Asunción","Upper middle income"
"PSE","West Bank and Gaza","Middle East & North Africa","East Jerusalem","Lower middle income"
"QAT","Qatar","Middle East & North Africa","Doha","High income"
"ROU","Romania","Europe & Central Asia","Bucharest","Upper middle income"
"RUS","Russian Federation","Europe & Central Asia","Moscow","Upper middle income"
"RWA","Rwanda","Sub-Saharan Africa","Kigali","Low income"
"SDN","Sudan","Sub-Saharan Africa","Khartoum","Lower middle income"
"SEN","Senegal","Sub-Saharan Africa","Dakar","Lower middle income"
"SGP","Singapore","East Asia & Pacific","Singapore","High income"
"SLB","Solomon Islands","East Asia & Pacific","Honiara","Lower middle income"
"SLE","Sierra Leone","Sub-Saharan Africa","Freetown","Low income"
"SLV","El Salvador","Latin America & Caribbean","San Salvador","Lower middle income"
"SOM","Somalia","Sub-Saharan Africa","Mogadishu","Low income"
"SRB","Serbia","Europe & Central Asia","Belgrade","Upper middle income"
"SSD","South Sudan","Sub-Saharan Africa","Juba","Low income"
"SUR","Suriname","Latin America & Caribbean","Paramaribo","Upper middle income"
"SVK","Slovak Republic","Europe & Central Asia","Bratislava","High income"
"SVN","Slovenia","Europe & Central Asia","Ljubljana","High income"
"SWE","Sweden","Europe & Central Asia","Stockholm","High income"
"SWZ","Eswatini","Sub-Saharan Africa","Mbabane","Lower middle income"
"SYC","Seychelles","Sub-Saharan Africa","Victoria","High income"
"SYR","Syrian Arab Republic","Middle East & North Africa","Damascus","Low income"
"TCD","Chad","Sub-Saharan Africa","N'Djamena","Low income"
"TGO","Togo","Sub-Saharan Africa","Lomé","Low income"
"THA","Thailand","East Asia & Pacific","Bangkok","Upper middle income"
"TJK","Tajikistan","Europe & Central Asia","Dushanbe","Low income"
"TKM","Turkmenistan","Europe & Central Asia","Ashgabat","Upper middle income"
"TLS","Timor-Leste","East Asia & Pacific","Dili","Lower middle income"
"TON","Tonga","East Asia & Pacific","Nukualofa","Upper middle income"
"TTO","Trinidad and Tobago","Latin America & Caribbean","Port of Spain","High income"
"TUN","Tunisia","Middle East & North Africa","Tunis","Lower middle income"
"TUR","Turkey","Europe & Central Asia","Ankara","Upper middle income"
"TUV","Tuvalu","East Asia & Pacific","Funafuti","Upper middle income"
"TZA","Tanzania","Sub-Saharan Africa","Dodoma","Low income"
"UGA","Uganda","Sub-Saharan Africa","Kampala","Low income"
"UKR","Ukraine","Europe & Central Asia","Kiev","Lower middle income"
"URY","Uruguay","Latin America & Caribbean","Montevideo","High income"
"USA","United States","North America","Washington D.C.","High income"
"UZB","Uzbekistan","Europe & Central Asia","Tashkent","Lower middle income"
"VCT","St. Vincent and the Grenadines","Latin America & Caribbean","Kingstown","Upper middle income"
"VEN","Venezuela, RB","Latin America & Caribbean","Caracas","Upper middle income"
"VNM","Vietnam","East Asia & Pacific","Hanoi","Lower middle income"
"VUT","Vanuatu","East Asia & Pacific","Port Vila","Lower middle income"
"WSM","Samoa","East Asia & Pacific","Apia","Upper middle income"
"YEM","Yemen, Rep.","Middle East & North Africa","Sana'a","Low income"
"ZAF","South Africa","Sub-Saharan Africa","Pretoria","Upper middle income"
"ZMB","Zambia","Sub-Saharan Africa","Lusaka","Lower middle income"
"ZWE","Zimbabwe","Sub-Saharan Africa","Harare","Lower middle income"
